,0,1,2,3,4,5,6,7,keras
139,18.77450519,100,0,0,2,36125,34.73659589,0.069518198,0.0768876969814
140,1.166077046,0,0,0,1,581730,378.7810324,0.102475534,0.179921537638
141,9.397417504,0,0,0,1,69700,319.5060691,0.01,0.103985518217
142,19.17732872,100,0,0,2,36125,35.98244453,0.063909605,0.0792304128408
143,18.44370934,0,0,0,1,36125,35.1993739,0.083615747,0.1704005301
144,25.06239499,0,0,0,1,30355,52.39509813,0.097739287,0.14967790246
145,1.140671789,0,0,0,1,581730,267.0728527,0.134814041,0.269696295261
146,2.048097076,100,0,0,2,267667,207.7059978,0.14879118,-0.235507130623
147,1.137381603,0,0,0,1,581730,299.6253778,0.162259869,0.233797132969
148,0.979041408,0,0,0,1,824292,262.1740642,0.18012517,0.26002201438
149,13.62030026,0,0,0,1,238391,423.8460885,0.008787865,0.0960781872272
150,18.65222069,0,0,0,1,29743,167.3594219,0.010124476,0.106920152903
151,25.59710097,0,0,0,1,30355,107.4962947,0.04,0.116072833538
152,26.87635337,0,0,0,1,17364,270.4379511,0.079736471,0.0493074171245
153,26.68924211,0,0,0,1,17364,250.4343766,0.081689307,0.0494892559946
154,60.96396636,0,0,0,1,11295,24.31759774,0.085187878,0.0607812069356
155,1.211780379,0,0,0,1,581730,396.6018688,0.093484357,0.166160658002
156,24.6330254,0,0,0,1,86600,149.7308675,0.017551343,0.130569145083
157,27.06692006,0,0,0,1,17364,267.4128435,0.076151209,0.048499699682
158,58.85993803,100,0,0,2,11295,21.52090965,0.086004085,0.822564303875
159,24.9637292,0,0,0,1,30355,84.22241294,0.111149816,0.130219936371
160,18.10598394,0,0,0,1,77474,304.7540901,0.016666793,0.0988452732563
161,9.219825215,0,0,0,1,110879,300.386581,0.016874068,0.123971149325
162,19.59008997,100,0,0,2,36125,37.26439469,0.065583497,0.0817431211472
163,3.156799836,0,0,0,1,488100,129.3440662,0.077449696,0.370439916849
164,24.00951501,0,0,0,1,86600,432.418509,0.030142376,0.0311548672616
165,1.179323741,61,0,0,1,581730,384.1322268,0.108438862,-0.00944416597486
166,18.86158088,0,0,0,1,29743,172.2184216,0.01,0.10578212142
167,19.90404465,0,0,0,1,29743,127.0059316,0.012557424,0.116167873144
168,1.194834373,0,0,0,1,581730,427.5167759,0.103822196,0.14774620533
169,18.23069881,0,0,0,1,143100,23.16019317,0.145278607,0.222497075796
170,2.080069639,0,0,0,1,267667,246.7517927,0.176727452,0.232915833592
171,19.12745856,0,0,0,1,29743,158.9801968,0.011026044,0.107493057847
172,17.63129566,0,0,0,1,77474,373.1608489,0.015091754,0.0720365941525
